Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.40E-08,info,1.10E-06,1.82E-07,182.4,,0
,'100,100% (200/200),3.49E-08,info,1.22E-06,2.00E-07,199.7,,0
,'010,100% (200/200),3.42E-08,info,1.16E-06,1.90E-07,190,,0
,'110,100% (200/200),4.31E-08,info,1.40E-06,2.25E-07,225.1,,0
,'001,100% (200/200),3.75E-08,info,1.19E-06,1.99E-07,198.5,,0
,'101,100% (200/200),4.04E-08,info,1.47E-06,2.31E-07,231.2,,0
,'011,100% (200/200),3.81E-08,info,1.34E-06,2.11E-07,211.1,,0
,'111,100% (200/200),4.14E-08,info,1.36E-06,2.16E-07,215.9,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.60E-08,info,8.42E-07,1.36E-07,136.1,,0
,'10000,100% (200/200),2.27E-08,info,8.48E-07,1.34E-07,133.9,,0
,'01000,100% (200/200),2.34E-08,info,8.56E-07,1.36E-07,135.7,,0
,'11000,100% (200/200),2.49E-08,info,9.19E-07,1.45E-07,145.4,,0
,'00100,100% (200/200),2.50E-08,info,8.46E-07,1.36E-07,135.6,,0
,'10100,100% (200/200),2.24E-08,info,8.55E-07,1.35E-07,135.1,,0
,'01100,100% (200/200),2.73E-08,info,8.96E-07,1.42E-07,141.6,,0
,'11100,100% (200/200),2.56E-08,info,9.52E-07,1.45E-07,145.3,,0
,'00010,100% (200/200),2.96E-08,info,9.07E-07,1.51E-07,151,,0
,'10010,100% (200/200),2.23E-08,info,7.87E-07,1.29E-07,128.8,,0
,'01010,100% (200/200),2.29E-08,info,7.94E-07,1.31E-07,130.5,,0
,'11010,100% (200/200),2.44E-08,info,8.47E-07,1.36E-07,136,,0
,'00110,100% (200/200),2.46E-08,info,7.85E-07,1.30E-07,130.4,,0
,'10110,100% (200/200),2.19E-08,info,7.94E-07,1.30E-07,129.9,,0
,'01110,100% (200/200),2.94E-08,info,1.03E-06,1.60E-07,159.8,,0
,'11110,100% (200/200),2.53E-08,info,9.59E-07,1.46E-07,146.4,,0
,'00001,100% (200/200),2.75E-08,info,9.05E-07,1.46E-07,145.8,,0
,'10001,100% (200/200),2.27E-08,info,8.48E-07,1.34E-07,133.9,,0
,'01001,100% (200/200),2.34E-08,info,8.56E-07,1.36E-07,135.7,,0
,'11001,100% (200/200),2.49E-08,info,9.19E-07,1.45E-07,145.4,,0
,'00101,100% (200/200),2.50E-08,info,8.46E-07,1.36E-07,135.6,,0
,'10101,100% (200/200),2.24E-08,info,8.55E-07,1.35E-07,135.1,,0
,'01101,100% (200/200),2.79E-08,info,9.63E-07,1.50E-07,150,,0
,'11101,100% (200/200),2.53E-08,info,9.59E-07,1.46E-07,146.4,,0
,'00011,100% (200/200),3.08E-08,info,8.97E-07,1.48E-07,148.2,,0
,'10011,100% (200/200),2.29E-08,info,8.36E-07,1.32E-07,131.8,,0
,'01011,100% (200/200),2.33E-08,info,8.44E-07,1.33E-07,133.3,,0
,'11011,100% (200/200),2.47E-08,info,8.97E-07,1.39E-07,138.7,,0
,'00111,100% (200/200),2.48E-08,info,8.34E-07,1.33E-07,133.1,,0
,'10111,100% (200/200),2.22E-08,info,8.43E-07,1.33E-07,132.5,,0
,'01111,100% (200/200),2.85E-08,info,1.03E-06,1.59E-07,158.5,,0
,'11111,100% (200/200),2.50E-08,info,9.66E-07,1.48E-07,147.5,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.23E-08,info,6.91E-07,1.17E-07,117.4,,0
,'100,100% (200/200),2.33E-08,info,8.14E-07,1.33E-07,133.2,,0
,'010,100% (200/200),2.30E-08,info,7.59E-07,1.25E-07,125.3,,0
,'110,100% (200/200),2.30E-08,info,8.21E-07,1.34E-07,134.3,,0
,'001,100% (200/200),2.15E-08,info,7.92E-07,1.27E-07,127.2,,0
,'101,100% (200/200),2.03E-08,info,7.40E-07,1.21E-07,120.5,,0
,'011,100% (200/200),2.61E-08,info,8.11E-07,1.34E-07,133.7,,0
,'111,100% (200/200),2.10E-08,info,7.56E-07,1.22E-07,122.3,,0